;ano;kilos;dollar;pais_pt;cod_pais;continente;volume_consumido(litros)
0;2008-01-01;0;0;Afeganistão;AFG;Asia;100000.0
1;2008-01-01;0;0;África do Sul;ZAF;Africa;322100000.0
2;2008-01-01;265742;429970;Alemanha, República Democrática;DEU;Europe;2074700000.0
3;2008-01-01;25721;71083;Angola;AGO;Africa;116000000.0
4;2008-01-01;0;0;Anguilla;AIA;;0.0
5;2008-01-01;0;0;Antígua e Barbuda;ATG;America;800000.0
6;2008-01-01;17938;22908;Antilhas Holandesas;ANT;America;2000000.0
7;2008-01-01;0;0;Arábia Saudita;SAU;Asia;0.0
8;2008-01-01;0;0;Argentina;ARG;America;1067700000.0
9;2008-01-01;0;0;Aruba;ABW;;0.0
10;2008-01-01;218726;99280;Austrália;AUS;Oceania;504300000.0
11;2008-01-01;0;0;Áustria;AUT;Europe;240000000.0
12;2008-01-01;0;0;Bahamas;BHS;America;3400000.0
13;2008-01-01;0;0;Bangladesh;BGD;Asia;200000.0
14;2008-01-01;0;0;Barbados;BRB;America;2500000.0
15;2008-01-01;0;0;Barein;BHR;Asia;1000000.0
16;2008-01-01;3523;12969;Bélgica;BEL;Europe;299000000.0
17;2008-01-01;0;0;Belice;BLZ;America;400000.0
18;2008-01-01;10350;17423;Benin;BEN;Africa;3300000.0
19;2008-01-01;0;0;Bermudas;BMU;America;2800000.0
20;2008-01-01;3979;3990;Bolívia;BOL;America;8600000.0
21;2008-01-01;0;0;Bósnia-Herzegovina;BIH;Europe;12200000.0
22;2008-01-01;0;0;Brasil;BRA;America;326500000.0
23;2008-01-01;0;0;Bulgária;BGR;Europe;80800000.0
24;2008-01-01;0;0;Cabo Verde;CPV;Africa;5000000.0
25;2008-01-01;0;0;Camarões;CMR;Africa;7800000.0
26;2008-01-01;20949;80476;Canadá;CAN;America;425300000.0
27;2008-01-01;0;0;Catar;QAT;;0.0
28;2008-01-01;0;0;Cayman, Ilhas;CYM;;0.0
29;2008-01-01;0;0;Chile;CHL;America;233900000.0
30;2008-01-01;8689;25926;China;CHN;Asia;1404600000.0
31;2008-01-01;0;0;Chipre;CYP;Europe;14700000.0
32;2008-01-01;1233;4699;Cingapura;SGP;Asia;11100000.0
33;2008-01-01;1233;4699;Cingapura;SGP;Asia;11100000.0
34;2008-01-01;0;0;Cocos (Keeling), Ilhas;CCK;;0.0
35;2008-01-01;0;0;Colômbia;COL;America;12100000.0
36;2008-01-01;0;0;Comores;COM;Africa;100000.0
37;2008-01-01;0;0;Congo;COG;Africa;5200000.0
38;2008-01-01;3520;14366;Coreia, Republica Sul;KOR;Asia;27600000.0
39;2008-01-01;0;0;Costa do Marfim;CIV;Africa;22700000.0
40;2008-01-01;55;200;Costa Rica;CRI;America;7800000.0
41;2008-01-01;0;0;Croácia;HRV;Europe;144100000.0
42;2008-01-01;0;0;Cuba;CUB;America;16000000.0
43;2008-01-01;0;0;Curaçao;CUW;;0.0
44;2008-01-01;518;15905;Dinamarca;DNK;Europe;163600000.0
45;2008-01-01;0;0;Dominica;DMA;America;300000.0
46;2008-01-01;0;0;El Salvador;SLV;America;1900000.0
47;2008-01-01;2437;12298;Emirados Arabes Unidos;ARE;;0.0
48;2008-01-01;0;0;Equador;ECU;America;6200000.0
49;2008-01-01;585;16063;Eslovaca, Republica;SVK;Europe;70000000.0
50;2008-01-01;2942;6834;Espanha;ESP;Europe;954200000.0
51;2008-01-01;443895;804607;Estados Unidos;USA;America;2770000000.0
52;2008-01-01;4114;9730;Estônia;EST;Europe;14600000.0
53;2008-01-01;0;0;Filipinas;PHL;Asia;9900000.0
54;2008-01-01;0;0;Finlândia;FIN;Europe;57200000.0
55;2008-01-01;11078;27500;França;FRA;Europe;3080000000.0
56;2008-01-01;18168;25642;Gana;GHA;Africa;14600000.0
57;2008-01-01;0;0;Gibraltar;GIB;;0.0
58;2008-01-01;0;0;Granada;GRD;America;2700000.0
59;2008-01-01;0;0;Grécia;GRC;Europe;320000000.0
60;2008-01-01;0;0;Guatemala;GTM;;0.0
61;2008-01-01;0;0;Guiana;GUY;America;0.0
